Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
11:25:20:22.440,61,0.0000007748,0.1743034422,0.0048887488,0.0000000000,0.0000000000,0.0617954880,0.0940394551,0.0000007286,0.1737640798,0.1142883971,0.0000000000,0.0000000000,0.0618926249,0.0939366221,0.0406299941,0.0000000000,0.0222197957,0.1701138914,0.0668705031,0.1998517662,0.0643079355,0.0001707464,0.0000000000,0.1165351793,0.1579785198,0.0000000000,0.0000000000,0.0444149859,0.0467392802,0.1965797693,0.2013368607,0.0354239382,0.0211358126,0.0635675937,0.0542369783,0.0370542295,0.0369478315,0.3989725411,0.3988438249,0.1905752569,0.2009684592,0.0000000000,0.0000000000,0.1224559397,0.0067424779,0.0065053720,0.0112860911,0.0981527939,0.1219299734,0.1816522926,0.1910772920,0.0000000065,-0.0195240248,-0.0445230566,0.0098558525,-0.0694212466,0.1064037085,-0.0074085919,0.0029694543,0.1064763814,0.0003173766
11:25:20:23.442,61,0.0000007131,0.1741636992,0.0050913566,0.0000000000,0.0000000000,0.0620069131,0.0980909020,0.0000006705,0.1736261100,0.1141011044,0.0000000000,0.0000000000,0.0621028543,0.0979769602,0.0411157385,0.0000000000,0.0226001553,0.1703053564,0.0661329031,0.1999544948,0.0637936592,0.0000470172,0.0000000000,0.1164585873,0.1576279253,0.0000000000,0.0000000000,0.0445041731,0.0468440577,0.1902592927,0.1968730390,0.0349344648,0.0210332554,0.0631633773,0.0542006232,0.0369178578,0.0368080176,0.3940012455,0.3947543204,0.1915514320,0.2019340396,0.0000000000,0.0000000000,0.1221006885,0.0058934609,0.0056688944,0.0110920370,0.0983415842,0.1223069504,0.1815196872,0.1911300868,0.0000000037,-0.0158626866,-0.0462198146,0.0123267248,-0.0693080947,0.1063183770,-0.0073905610,0.0030925479,0.1063910723,0.0003302660
11:25:20:24.444,61,0.0000006563,0.1739831567,0.0053924550,0.0000000000,0.0000000000,0.0622594208,0.0990424752,0.0000006171,0.1734483838,0.1137948930,0.0000000000,0.0000000000,0.0623533204,0.0989251435,0.0415044129,0.0000000000,0.0230812207,0.1702241153,0.0651122630,0.1998286545,0.0632044971,0.0000000000,0.0001043286,0.1163503751,0.1572165340,0.0000000000,0.0000000000,0.0446125865,0.0469740890,0.1872586757,0.1945900768,0.0344371758,0.0209592860,0.0626583099,0.0540488325,0.0368192270,0.0366950370,0.3925076425,0.3936979771,0.1919390261,0.2023071796,0.0000000000,0.0000000000,0.1219819188,0.0051931869,0.0049738083,0.0109245712,0.0984122604,0.1224454045,0.1808074713,0.1901138872,0.0000000037,-0.0118885767,-0.0501259975,0.0153662553,-0.0691229180,0.1062081903,-0.0073631480,0.0032754771,0.1062808409,0.0003494365
11:25:20:25.446,61,0.0000006040,0.1742272228,0.0056079673,0.0000000000,0.0000000000,0.0624323823,0.0999415815,0.0000005679,0.1736935526,0.1135753021,0.0000000000,0.0000000000,0.0625247583,0.0998222381,0.0418184400,0.0000000000,0.0234146547,0.1704658121,0.0645771399,0.2000949234,0.0628554001,0.0000000000,0.0002011965,0.1161512583,0.1566644162,0.0000000000,0.0000000000,0.0447111800,0.0470843427,0.1856653988,0.1932577044,0.0339706503,0.0209133346,0.0621822067,0.0538605154,0.0367157198,0.0365809724,0.3912243843,0.3924017549,0.1911062598,0.2010170221,0.0000000000,0.0000000000,0.1222012788,0.0055667232,0.0053482829,0.0107723903,0.0984975472,0.1226116046,0.1802873462,0.1894493252,0.0000000048,-0.0098005123,-0.0518822186,0.0174566172,-0.0689884275,0.1063573137,-0.0073592430,0.0034063286,0.1064299867,0.0003639098
11:25:20:26.448,61,0.0000005558,0.1737286001,0.0064500421,0.0000000000,0.0000000000,0.0626114458,0.1005546376,0.0000005226,0.1732026041,0.1127307415,0.0000000000,0.0000000000,0.0627026707,0.1004347354,0.0421607606,0.0000000000,0.0236740820,0.1708936840,0.0640824810,0.2005265504,0.0624777973,0.0000000000,0.0004245667,0.1160178259,0.1563724726,0.0000000000,0.0000000000,0.0448023900,0.0471977778,0.1852393597,0.1929267198,0.0334828794,0.0208199769,0.0617313087,0.0536934212,0.0366122015,0.0364773683,0.3918024600,0.3932006955,0.1909799278,0.2008535415,0.0000000000,0.0000000000,0.1225194857,0.0059873560,0.0057688784,0.0106268730,0.0986726359,0.1229437962,0.1802087873,0.1892786324,0.0000000081,-0.0095428294,-0.0530224442,0.0185133237,-0.0684776157,0.1060529426,-0.0072837779,0.0039179400,0.1061255708,0.0004173606
11:25:20:27.449,61,0.0000005115,0.1730500907,0.0068826387,0.0000000000,0.0000000000,0.0630821213,0.0987284184,0.0000004810,0.1725292653,0.1122688577,0.0000000000,0.0000000000,0.0631732792,0.0986087322,0.0426415280,0.0000000000,0.0238919295,0.1714754403,0.0635806248,0.2005251795,0.0619455911,0.0000000000,0.0005320260,0.1160052121,0.1560825706,0.0000000000,0.0000000000,0.0448994450,0.0473005660,0.1857058704,0.1931061447,0.0330347680,0.0207389928,0.0612478629,0.0534881465,0.0365009680,0.0363752581,0.4040891826,0.4032571018,0.1911573112,0.2010162771,0.0000000000,0.0000000000,0.1228107587,0.0060164561,0.0058021946,0.0104748989,0.0989590436,0.1234078258,0.1804987490,0.1894724667,0.0000000079,-0.0107834572,-0.0534371883,0.0191415679,-0.0682000220,0.1056386307,-0.0072257472,0.0041808947,0.1057112217,0.0004436198
11:25:20:28.451,61,0.0000004708,0.1725743264,0.0075848689,0.0000000000,0.0000000000,0.0634792149,0.0908826441,0.0000004427,0.1720600128,0.1115608141,0.0000000000,0.0000000000,0.0635706261,0.0907636881,0.0431093909,0.0000000000,0.0240387619,0.1720816940,0.0631924272,0.1995795816,0.0613640286,0.0000000000,0.0005631357,0.1172462627,0.1562782079,0.0000000000,0.0000000000,0.0450665951,0.0474778861,0.1861108840,0.1933320016,0.0326233134,0.0207412839,0.0606240109,0.0530936569,0.0364034399,0.0362860225,0.4118177593,0.4101760983,0.1909226775,0.2007190883,0.0000000000,0.0000000000,0.1230934337,0.0062330817,0.0060215187,0.0103297634,0.0992279947,0.1237812713,0.1812247485,0.1899086535,0.0000000077,-0.0123885442,-0.0530977286,0.0184397399,-0.0677719638,0.1053482071,-0.0071605793,0.0046076104,0.1054207832,0.0004875436
11:25:20:29.452,61,0.0000004333,0.1715524495,0.0097421408,0.0000000000,0.0000000000,0.0640089065,0.0837982744,0.0000004074,0.1710568964,0.1093981937,0.0000000000,0.0000000000,0.0641011447,0.0836686790,0.0435549393,0.0000000000,0.0242105722,0.1724561751,0.0627154037,0.1989346296,0.0607850924,0.0000000000,0.0006667601,0.1178070977,0.1564323157,0.0000000000,0.0000000000,0.0451644212,0.0475815758,0.1864744276,0.1935586333,0.0322280116,0.0207143575,0.0600485429,0.0527542606,0.0363037549,0.0361980759,0.4159711599,0.4145556092,0.1910668164,0.2008859068,0.0000000000,0.0000000000,0.1234975830,0.0068008774,0.0065836157,0.0101983827,0.0994162038,0.1240650043,0.1818251163,0.1903986037,0.0000000061,-0.0140666105,-0.0530128330,0.0178395826,-0.0664625093,0.1047247723,-0.0069805728,0.0059184874,0.1047972888,0.0006225184
11:25:20:30.454,61,0.0000003987,0.1730026454,0.0102398070,0.0000000000,0.0000000000,0.0644722655,0.0812449530,0.0000003749,0.1725075096,0.1089105681,0.0000000000,0.0000000000,0.0645654947,0.0811136216,0.0439335853,0.0000000000,0.0242736470,0.1726755053,0.0623059124,0.1985044628,0.0602951944,0.0000000000,0.0006886311,0.1179778203,0.1562489569,0.0000000000,0.0000000000,0.0452277213,0.0476396270,0.1868806332,0.1937835664,0.0318541788,0.0206850022,0.0595191233,0.0524281934,0.0361928269,0.0360959880,0.4177265167,0.4162788093,0.1909818053,0.2007367760,0.0000000000,0.0000000000,0.1240948737,0.0098836180,0.0096248956,0.0100841168,0.0994968042,0.1242181212,0.1822513342,0.1906860471,0.0000000029,-0.0146352565,-0.0526830480,0.0169533808,-0.0661600903,0.1056107730,-0.0070080813,0.0062202439,0.1056833565,0.0006598303
11:25:20:31.456,61,0.0000003670,0.1729899645,0.0106866565,0.0000000000,0.0000000000,0.0649314821,0.0808065832,0.0000003450,0.1724982709,0.1084690541,0.0000000000,0.0000000000,0.0650261343,0.0806783363,0.0443392023,0.0000000000,0.0242741294,0.1730518788,0.0620104298,0.1967068911,0.0597363971,0.0000000000,0.0006159729,0.1184968427,0.1563605666,0.0000000000,0.0000000000,0.0453495905,0.0477477908,0.1874546707,0.1941565424,0.0315646082,0.0206956081,0.0589987561,0.0520640239,0.0360814594,0.0359925628,0.4186860025,0.4171549380,0.1905388385,0.2000038624,0.0000000000,0.0000000000,0.1246002689,0.0119506223,0.0116722304,0.0099723088,0.0995948240,0.1243839338,0.1826591194,0.1909492612,0.0000000036,-0.0156014031,-0.0520053171,0.0165187623,-0.0658919141,0.1056032330,-0.0069792159,0.0064916909,0.1056758016,0.0006885749
